sentimen	Tweet
-1	 bahwa thr pejabat negara eselon i eselon ii dibayarkan sri mulyani konferensi pe
-1	 saya cermati mencatat daerah apbdnya business as usual jokow
-1	 saya cermati mencatat daerah apbdnya business as usual jokowi 
-1	 saya cermati mencatat daerah apbdnya business as usual kata
-1	 saya kebutuhan ditunggu masyarakat jangan omong sa
-1	 saya turun kemarin kebutuhan ditunggu masyarakat nanti ha
-1	apakah memecat jika jokowi keren heboh beredar surat staf khusus presiden langsung
-1	bagus gak import2 pak kekayaan alam indonesia berlimpah banyak
-1	bawel banget lu pemerintah hobi banget lu bikin pusing rakyat sakit dendam rakyat bis
-1	belm bisaa sihh
-1	berikut daftar pengrusak penghancur pengkhianat amp indog cebong 
-1	bersaing etiopia nigeria bangladesh indonesia terburuk tes covid19 
-1	buruh harian ditangkap polisi duga hina presiden
-1	di mohon tuntutan terealisasikan bu gubernur masyarakat jawa timur butuh kej
-1	di mohon tuntutan terealisasikan bu gubernur masyarakat jawa timur butuh kejelas
-1	dikritik sby perintah tangkap penghina presiden bakal dicabut kapolri 
-1	dlh jakarta utara catat penurunan volume sampah psbb 
-1	dulu tu suka pelajaran matematika semenjak kenal x y hidup ku ambyar terkadang s
-1	dunia dilanda pandemi corona jokowi melarang mudik alasan tradisi pakar ilmu kemasyarakatan menilai joko
-1	ga bantuan mkan ngutang
-1	gila ya lg sush gni gawe sush ga pnya dwt sepeser dpt bntuan beras sma mie ga nympe tangn
-1	hallo dia berusaha berbuat keburukan terungkapnya
-1	harga mati jika dan mengesahkan 
-1	hukuman push up remaja pelanggar psbb 
-1	ini pemerintah gak niatan mencabut kebijakan narapidana bebaskan pandemik covid s
-1	ironis dikata jokowi presiden minim literasi demokrasi hal menjadi
-1	jangan biarkan radikalisme berkembang dilingkungan masyarakat mari bersatu lawan radikalisme
-1	jangan langgar kebebasan berpendapat ini negara demokrasi 
-1	jangan menunggu sampe tutup bergerak jangan sampe terlambat
-1	kami menolak jam malam panjang umur perjuangan 
-1	kebayang ga sih pemimpin kebingungan banyaknya hadapi tapi
-1	kita tdk berharap longgar kpd pemudik tp keras kpd pengeritik sikap kpd pemudik akan
-1	lamun sira sekti aja mateni lamun sira banter aja ndisiki lamun sira pinter aja minteri
-1	masalahnya ustad orba apapun kebaikan aja ngk
-1	menghina merendahkan melecehkan makar niat jahat kudeta negara berbeda kritik posit
-1	nah dah tau kaya gini bisanya tahanan korup dibebasin gitu aja sbnrnya biar bi
-1	oknum satpam tampar perawat akhirnya ditangkap selengkapnya 
-1	pejabat negara tak dapat thr asn tni polri eselon iii bawah cair 
-1	pemblokiran hape bm black market berlaku minggu simak ceritanya 
-1	pemerintah rakyat bukan rakyat pemerintah
-1	polda jawa barat beraksi dua orang ditetapkan tersangka penghina presiden 
-1	politikus demokrat habishabisan kuliti kartu prakerja jokowi bau amis kolusi
-1	presiden joko widodo jokowi khawatir pemerintah omdo alias omong doang bantuan masyarakat terda
-1	presiden joko widodo jokowi khawatir pemerintah omdo alias omong doang bantuan masyarakat terdampak
-1	presiden jokowi larang orang berprofesi ini mudik link 
-1	presiden jokowi perjalanan pulang menyempatkan berhenti beras ojek online jakarta semen
-1	ratusan buruh terkena phk semarang antre pendaftaran kartu pra kerja 
-1	rip keresahan masyarakat medsos 
-1	sby sindir halus jokowi masa krisis darurat saya harus memimpin secara langsung
-1	sentil tr penghinaan presiden politisi demokrat unggah video lama jokowi yang siap dikritik 
-1	setelah virus corona kebijakan pemerintah ini juga dianggap bencana 
-1	stafsus presiden andi taufan garuda tidak hanya bakal dipecat berlanjut proses hukum
-1	tak hiraukan imbauan pemerintah pemancing danau cirata dibubarkan polisi 
-1	tunda dulu mudiknya untuk kebaikan bersama 
-1	ucapan duka hentihentinya mengalir termasuk presiden ucapan bel
-1	ucapan duka hentihentinya mengalir termasuk presiden ucapan belasungkawa
-1	udah kek gini salah maling ayam lapas minim korupsi merug
-1	waduh kacau kalo
-1	wahai pemimpin negerimu krisis berhentilah bercanda dg susu kuda liar sembuh pamer salam si
-1	woi tv gue saluran tvri nya jelek bngt kali gitu pemerintah bikin layar tancep org menengah k
-1	yg malem konko dipenjara eh yg dipenajara dibebaskan 
1	 kita berbicara target pembangunan pertumbuhan ekonomi terkoreksi tajam jokowi
1	 mari menangani pandemi bergotong royong bersatu padu kebersamaan d
1	 mari menangani pandemi bergotong royong bersatu padu kebersamaan k
1	 pekerjaan bahagia membawa kelelahan natural mengesankan semoga rakyat indonesia bi
1	 saya cermati mencatat daerah apbdnya business as usual jokow
1	 saya cermati mencatat daerah apbdnya business as usual jokowi 
1	 saya kebutuhan ditunggu masyarakat jangan omong sa
1	 tolong bapak ibu perhatikan puskemas kami garda terdepan melawan pandemi covid
1	akhirnya indonesia dapet pemimpin pas
1	aksi presiden jokowi membagikan ratusan paket sembako pengemudi ojol masyarakat jalan h
1	aksi presiden jokowi membagikan ratusan paket sembako pengemudi ojol masyarakat jalan harmoni jak
1	aku g tau foto kalo emang foto semoga kesehatan keep strong bapak nomor 
1	akulah santri postislamisme
1	anies pakai social distancing jokowi pakai political distancing 
1	antisipasi penyebaran virus corona
1	antisipasi penyebaran virus covid19
1	ayo bergabung patuhi psbb ikuti aturan kesehatan kagak melaksanakan mudik lebihlebih piknik 
1	ayo beriringan patuhi psbb ikuti aturan kesehatan tiada melantaskan mudik piknik 
1	ayo bersama kita pasti bisa lawan covid19 jika kita bersatu d19
1	ayo daftar 
1	ayo dukung omnibus law demi masa depan perekonomian indonesia
1	ayo ke tps gunakan hak suaramu tentukan pilihanmu 
1	ayo patuhi psbb ikuti istiadat kesehatan melaksanakan mudik lebihlebih piknik 
1	ayoo ndukung omnibus law demi moso dpan perekonomian endonesia
1	bagibagi sembako kawasan harmoni jakarta pusat diam bertindak
1	bagus nih sasaran tdk pribumi butuh keadilan yg k
1	belm bisaa sihh
1	bener nih pakde jokowi tipsnya
1	berita berita kota makassar paket ahpamm dinilai ideal pilkada bulukumba
1	berita dpp gerindra siapkan haerul saleh jadi pengganti imran
1	berita relawan bahari mohon maaf kepada netizen atas beredarnya photo yang kurang 
1	bersam tac peduli memberika masker orang membantu pemerintah mencegah covid tac padang toyota agy
1	bingung sebenarnya jabatan luhut pemerintahan diurusi
1	bukan
1	butuh sangatsangat butuh 
1	cegah covid19 mudik
1	daftar hub klik jg pesan langsung
1	dalam arahannya kepala negara ketua gugus tugas menteri kesehatan perhatian terhadap
1	di jual barang ready sudah batre tertarik langsung pm 
1	dukung dunia umkm indonesia karena yg mencintai bangsanya yg bangsanya
1	dukung penuh ruu omnibus law cipta kerja 
1	dunia dilanda pandemi corona jokowi melarang mudik alasan tradisi pakar ilmu kemasyarakatan menilai joko
1	elemen bangsa keras berupaya memutus mata rantai covid19 mari kit
1	engga ko mah masyarakat bego slow ajaa kalian korupsi ga tauu da klm weh kalian maen curang
1	gegara ditolak warga ada penumpang lompat kapal ibuibu histeris 
1	gw cari buat nolongin
1	hallo dia berusaha berbuat keburukan terungkapnya
1	hei kmarin komplen kmarin mlm sdh ok tp skrg ndut2an lg koneksi internet nya sdh komplen kata
1	i do agree utk tdk terpilih periode swajarnya bs lbh berani
1	indonesia sehat jaga ya lingkungannya lain2nya jokowi udah dapet rintan
1	intinya social distance berbeda physical distance mungkin maksud pemerintah physical distance
1	itumah mahasiswa halu
1	jadilah tuan rumah dirumah 
1	jaga jarak lebih aman
1	jaga jarak terhindar pandemic
1	jangan lupa jaga kesehatan bosku keluyuran mending main poker bosku 
1	jangan lupa makan sore bosku kalo dah kenyang main richpokerqq asia s best poker online bonu
1	jangan lupa makan sore bosku kalo dah kenyang main richpokerqq asia s best poker online bonus cashb
1	jokowi apresiasi adanya rumah sakit tanpa dinding 
1	jokowi bagibagi sembako seputar istana bogor mana aturan physical distancing tengah wabah corona ini co
1	jokowi dorong apt ciptakan resiliensi pandemi covid19 penguatan ekonomi 
1	jokowi geram lantaran pemerintah daerah lamban mengatur apbd penanganan corona simak berita selengkapnya di
1	jokowi kegembiraannya kerukunan warga cimahi jawa barat dia kerukunan di
1	jokowi masih merespon situasi normal
1	jokowi minta warung tradisional diberi peluang produksi jangan sampai tutup 
1	jokowi tak mau dibilang omong doang perintahkan sri mulyani dan mensos cairkan bantuan minggu ini 
1	jokowi tandatangani keppres tetapkan covid19 bencana nasional 
1	jukurkah pemimpin 
1	ke jajaran jangan sampai masyarakat menganggap kita hanya
1	kenakan sanksi pecat
1	kepedulian jokowi kena hoaks ratusan warga miskin bogor antre sembako gerbang istana bogor gt gt 
1	kita pesimis kita berikhtiar berusaha keras upaya pemulihan baik pem
1	kita tdk berharap longgar kpd pemudik tp keras kpd pengeritik sikap kpd pemudik akan
1	lamalama corona membunuh masyarakat kelaparan plz bngt pemerintah semua
1	legislator gerindra curiga ada ingin menjerumuskan jokowi 
1	liputan calon presiden sebut barcelona terancam bangkrut secara ekonomi moral
1	maaf duduk diatas untuk pilihan bayar cicilankredit lt tidak bi
1	manusia khilaf khilaf maaf ini berlaku penguasa tidak tukang
1	mari brsma patuhi psbb ikuti protokol ksehatan engga mlakukan mudik apalg piknik
1	mari brsma patuhi psbb ikuti protokol ksehatan gk mlkukn mudik apalg piknik
1	mari brsma patuhi psbb ikuti protokol ksehatan nd melakukn mudik piknik
1	mari brsma patuhi psbb ikuti protokol ksehatan oraa mlkukn mudik piknik
1	mari gendong omnibus law kurun dewasa ambang perekonomian republik indonesia
1	mari putus rantai penyebaran virus corona dg n jaga kebugaran jaga kebersihan jaga jarak meter 
1	mari putus rantai penyebaran virus corona dgan jaga kebugaran jaga kebersihan jaga jarak meter 
1	mari putus rantai penyebaran virus corona dng jaga kebugaran jaga kebersihan jaga jarak meter 
1	mari putus rantai penyebaran virus corona dngan jaga kebugaran jaga kebersihan jaga jarak meter 
1	masih 
1	melawan tumbukan epidemi kagak pesimistis hadapi aktivitas padat
1	mengedukasi betapa masker mencegah penularan virus corona pembagian masker masyar
1	menghadapi dampak dari wabah ini kita tidak boleh pesimistis kita hadapi dengan ikhtiar dan kerja keras
1	menghadapi dampak dr wabah inih qt ndk bolehh pesimistis kt hadspi denga ikhtiar dn gawe keras 
1	mengharukan 
1	mengharukan ini dia ucapan jokowi glenn fredly
1	meninggal presiden berduka
1	met pagi lupa sarapan ya richpokerqq asia s best poker online bonus cashback 5 bonus reff 
1	moal didengekeun goblok ku masyarakat oge lobe atursn himbauan action ngajamin masyarakat eweuh ceuk sia kud
1	moal didengekeun goblok ku masyarakat oge lobe atursn himbauan action ngajamin masyarakat eweuh ceuk sia kudu m
1	modal rupiah menang ribu 
1	mohon maaf yth bpk presiden kenapa warga berkerumun ber jalan ini tidak jaga jarak
1	mohon pejabat kepala daerah maksimal masyarakat berkeringat sela
1	mudik lebaran sayangilah keluarga
1	muncul akun medsos erick thohir for president begini kata menteri erick 
1	nih gue suka pakde angle lokasi ny pass wartawan udh ready rakyat udh ready mega
1	nyok dkung omnibus law demi msa dpan perekonomian endonesia
1	orang baik ada di manamana benar karakter orang indonesia gak disamakan org negeri saling ba
1	organisasi kemahasiswaan bantu apd rsud koja 
1	pakai masker ya guys
1	pemerintah berhasil memenuhi target rencana pembangunan jangka menengah nasional rpjmn 2019 disektor elektri
1	pemkab kepulauan seribu maksimalkan sosialisasi psbb 
1	pemkab warga berperan penerapan psbb 
1	pendukung
1	penetapan psbb menunggu korban berjatuhan 
1	pertama bilang sayang lama lama kok malah sangean dasar bajingan 
1	policy brief program tunai di era covid19 bantuan tunai korona atau jaminan penghasilan semesta silakan dib
1	policy brief program tunai di era covid19 bantuan tunai korona atau jaminan penghasilan semesta silakan dibaca hig
1	presiden joko widodo jokowi khawatir pemerintah omdo alias omong doang bantuan masyarakat yang
1	presiden joko widodo jokowi percaya makan ikan meningkatkan imunitas tubuh mencegah penyakit covid19
1	presiden joko widodo jokowi percaya makan ikan meningkatkan imunitas tubuh mencegah penyakit covid19 
1	presiden jokowi jajaran pemerintahan mendukung penuh industri bergerak sektor kesehatan amp mene
1	presiden jokowi memerintahkan jajaran menterinya menyalurkan bantuan sosial penanganan da
1	presiden jokowi mendoakan kesembuhan perdana menteri pm inggris boris johnson terinfeksi virus corona 
1	presiden jokowi mendoakan kesembuhan perdana menteri pm inggris boris johnson terinfeksi virus corona covid19 
1	presiden jokowi mengunggah gambar berisi ucapan selamat memperingati hari jumat agung sebagai pesan jokowi menyin
1	presiden jokowi mengunggah gambar berisi ucapan selamat memperingati hari jumat agung sebagai pesan jokowi menyinggung viru
1	presiden jokowi pengusaha berusaha keras mempertahankan pekerja pandemi virus corona jokowi meny
1	presiden jokowi perjalanan pulang menyempatkan berhenti beras ojek online jakarta semen
1	presiden jokowi ucapan belasungkawa meninggalnya glenn fredly jokowi karya sa
1	presiden jokowi ucapan belasungkawa meninggalnya glenn fredly jokowi karya sang musisi
1	rakyatnya pasrah 
1	resmi jokowi putuskan semua anggota dpr tidak dapat uang thr
1	ruu ciptaker memberikan kesetaraan 
1	rw dikerahkan optimalkan gugus tugas covid19 kepulauan seribu 
1	sarwa ongkos penyembuhan orang sakit terkontaminasi covid19 kepalang pemerintah 
1	satu nya naikin imunitas tubuh tertawa maka tertawalah tertawa dilar
1	saya pekerja harian lepas terdampak kebijaksanaanya membantu di
1	sayangi keluarga mengimbau warga utk tdk mmg berat tp d
1	sby sindir halus jokowi masa krisis darurat saya harus memimpin secara langsung 
1	segera daftar besok 
1	selamat pagi ayo sarapan pancake lupa tps ya saatnya indonesia memilih https 
1	selamat senin bosku semoga dilancarkan urusannya yah 
1	selamat siang lupa jaga kesehatan ya bosku mampir web 
1	selamat ya yg lolos semoga sukses kedepannya mending main poker d
1	seluiruh biaya perobatan pasien postif terinfeksi covid19 akn d tnggung o pemerintah
1	seluiruh biaya perobatan pasien postif terinfeksi covid19 d tnggung olh pemerintah 
1	semangat gotong royong melawan pandemi tolong menolong 
1	semoga diberi kekuatan 
1	semoga indonesia terbebas pendemi corona
1	semoga keluarga yang ditinggalkan diberikan ketabahan 
1	silakan ludes pertalian penyaluran virus corona menjaga kebugaran menjaga kebersihan menjaga langkah satu
1	silakan patuhi psbb ikuti adat kesehatan mengadakan mudik piknik 
1	silakan serentak patuhi psbb ikuti istiadat kesehatan menyelenggarakan mudik piknik 
1	simpen anak cucu 
1	sinetron indonesia yg booming kalo yg jabatan yang tertukar 
1	slamat president n mentri2 yg mengurus rakyatnya slamat dr wabahhanya org2 s
1	smangat 
1	sneaker shoes jack amp jones navy orisize new nego order wa 22401343 
1	surati camat pakai kop surat seskab stafsus milenial minta maaf 
1	terimakasih angkatan bukti betapa beruntungnya dibanding mahasiswa
1	tips hidup tenang hidupkan musik cari ketinggian loncat tenang 
1	tolak propaganda opm papua aman damai indonesia
1	tp niat contohnya pembagian sembako berbuat baik
1	tunda mudik mudik bawa virus keluarga dikampung
1	ucapan duka hentihentinya mengalir termasuk presiden ucapan belasungkawa
1	yesss said uang didu dan pak endut ditampar keras oleh dan sri mulyani
